Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2023-04-14,401.4627380371094,404.0226201667192,399.12673420421424,401.80341206988373,78161500
2023-04-17,402.9032897949219,402.92274584971403,400.1292722361705,401.37514293257703,66436400
2023-04-18,403.1661071777344,404.63585627014226,401.774241717507,404.49957476577754,63560000
2023-04-19,403.09796142578125,404.0128712458677,401.1707426979144,401.229140565071,55227300
2023-04-20,400.898193359375,402.66967446923786,399.33110477637365,400.2460442637138,75840400
2023-04-21,401.2096862792969,401.676869218609,399.23381255472265,401.1999434000945,73457400
2023-04-24,401.628173828125,402.0564446153454,399.6523003023162,401.0052236998419,64332100
2023-04-25,395.2528381347656,400.19740875860384,395.19444026710534,399.6328564326876,97766700
2023-04-26,393.5787048339844,396.96592974847795,393.0141822001858,395.8757965908664,80447000
2023-04-27,401.4140319824219,401.68656523319095,395.89519652447774,396.14827372301204,92968400
2023-04-28,404.8401794433594,404.84992232168787,400.46016155675505,400.5185594189313,89335600
2023-05-01,404.4314270019531,406.4851546297592,404.1978058305228,404.3924851893981,62122300
2023-05-02,399.88592529296875,403.75981875546177,396.9464571012848,403.7111340641636,103998500
2023-05-03,397.14111328125,402.8351429837371,396.8977789324591,400.39205661662845,91531800
2023-05-04,394.32818603515625,396.41111262734955,392.97523278984136,396.08018147546466,94901900
2023-05-05,401.628173828125,402.6891079179537,397.74456751626894,398.00735789319634,87844000
2023-05-08,401.73529052734375,402.2219592534578,400.3142261641833,401.9591688347608,50046800
2023-05-09,399.9735107421875,401.1025856344496,399.73991928306384,400.16819009405634,49220100
2023-05-10,401.84234619140625,403.4872887518615,397.9684526974755,402.8448825119293,96142900
2023-05-11,401.1415100097656,401.4334993209787,399.0390978573392,400.96631642303777,70157100
2023-05-12,400.6159362792969,402.6112957685378,398.1631367285106,402.39716035271437,70439400
2023-05-15,401.9980773925781,402.4068624545101,399.2922006873979,401.22913255184045,54289400
2023-05-16,399.31170654296875,401.8131910291643,399.3019636627888,400.8787656489812,57705500
2023-05-17,404.1589050292969,404.77208264872,399.6912898643818,401.355688524903,87287000
2023-05-18,408.0522766113281,408.48054747272937,403.61386014217186,403.8377087488801,97177200
2023-05-19,407.4585266113281,409.50254123746595,406.22239871882635,408.9672175109571,103679700
2023-05-22,407.6239929199219,409.1813387574631,406.2223846365249,407.4779982453808,60745400
2023-05-23,403.04931640625,407.55587372344837,402.65024447213256,405.95958598697865,86383500
2023-05-24,400.1292724609375,401.81315687426667,398.95154251149256,401.4238278509022,89213700
2023-05-25,403.5943603515625,405.06410937954433,401.41409400851745,403.681957155999,90961600
2023-05-26,408.8211669921875,409.55117004743295,404.1783582542306,404.25621217707396,93830000
2023-05-30,408.9768981933594,411.3129019931037,407.5752899727328,410.77757830912685,72216000
2023-05-31,406.7090148925781,408.0424823004521,405.12247027016514,407.127542821317,110811800
2023-06-01,410.57318115234375,411.6438582121454,405.6772953144276,406.9426220280753,88865000
2023-06-02,416.51055908203125,417.30867318618937,412.6464083620261,413.18173205792607,91366700
2023-06-05,415.71234130859375,418.165140460958,415.0017944297115,416.8608721233115,65460200
2023-06-06,416.61761474609375,417.15293844559983,414.6319980919554,415.293890112602,64022200
2023-06-07,415.1770935058594,418.1652467220997,414.7488226349499,417.0167156155255,85373300
2023-06-08,417.68829345703125,418.1457632344052,414.4665489603408,415.2452070178747,61952800
2023-06-09,418.437744140625,420.4720157510119,417.4352078024171,418.4961420085672,85742800
2023-06-12,422.2337341308594,422.3116177537034,418.70054447165705,419.4305474903507,76104300
2023-06-13,425.01751708984375,425.6696365204742,423.04164333535215,423.71324852468234,95899700
2023-06-14,425.5236511230469,427.3535302466709,422.0293733088503,425.3582003938964,100612100
2023-06-15,430.79913330078125,432.0644600219507,424.5989789000315,424.6962888755832,110303100
2023-06-16,429.3317565917969,433.3861055747919,428.8530591628444,432.8097068830916,114121300
2023-06-20,427.1042785644531,428.266854946588,425.00383570919894,427.36807493900125,76160400
2023-06-21,424.91595458984375,426.91869638194686,424.3199977362642,426.10783848276225,76982300
2023-06-22,426.44976806640625,426.5572185867041,423.60683122872587,423.94877074517865,70637200
2023-06-23,423.22576904296875,425.0331379202763,422.50283341774065,422.9522234160524,92074500
2023-06-26,421.4966125488281,424.59353692048506,421.252374294283,422.6494099548632,72823600
2023-06-27,426.1175842285156,426.74281861737984,421.9264476964196,422.3856167786235,72813700
2023-06-28,426.33245849609375,427.35824703877586,424.3980811654607,425.02331547135464,75636000
2023-06-29,428.0128479003906,428.1789430222069,425.50210144669927,425.912404994794,67882300
2023-06-30,433.0636901855469,434.0601714331237,430.94368922598466,431.2661003863023,104921500
2023-07-03,433.56201171875,433.84530664308056,432.4287425787027,432.712067317275,32793400
2023-07-05,432.91717529296875,433.6596690923143,431.7155124041709,431.72529147444817,58418400
2023-07-06,429.52716064453125,429.95702235075805,426.9870768752562,429.29270146449466,80658300
2023-07-07,428.4427185058594,432.438482440406,428.1984802602594,428.5208914404252,86076100
2023-07-10,429.52716064453125,429.7030050295587,427.50486077399677,428.08125946774646,62443500
2023-07-11,432.2626037597656,432.76085931617644,429.3122165166555,430.2989485591981,64463800
2023-07-12,435.7405700683594,437.16694292685935,434.65616653988315,436.10206772542455,91924500
2023-07-13,439.198974609375,440.0000831998298,437.137618154442,437.5772291022,72425200
2023-07-14,438.9254150390625,440.9574640329814,438.15361386962167,440.0977704910173,69761800
2023-07-17,440.4494934082031,441.51436861612706,438.7300465624046,438.77891210166564,52680200
2023-07-18,443.7222595214844,444.3768012972551,439.6776600270388,440.11730077703953,80744400
2023-07-19,444.7090148925781,445.91064799435,443.6441098923527,444.52339143853806,65891700
2023-07-20,441.75860595703125,444.61132187128146,441.0356702684686,443.70276272523813,70591600
2023-07-21,441.75860595703125,443.70276272523813,441.7488567005911,443.4975811263975,71245400
2023-07-24,443.7320556640625,444.5526925899651,441.87582114974117,442.92116799428237,54023400
2023-07-25,444.9434509277344,446.21347782846067,443.4096276511776,443.4584931868903,55191200
2023-07-26,445.0118103027344,446.4576814658072,442.9308959242737,443.99577097234925,71052900
2023-07-27,442.06146240234375,448.8512978158587,441.1431241785643,448.4409644292644,92194400
2023-07-28,446.3893737792969,447.2295390407471,442.061449370216,445.3733343206396,80011800
2023-07-31,447.2392883300781,447.60075614241094,445.5393699652003,446.86804144792967,62040400
2023-08-01,445.95947265625,446.7117156597197,444.9922690069472,445.75429108001924,55291500
2023-08-02,439.755859375,443.06771454697815,438.9938372263311,442.8039479696757,93933400
2023-08-03,438.49554443359375,440.4006145506753,437.05942245059424,437.71399402436066,64276100
2023-08-04,436.51239013671875,442.4620306369358,435.98482714142744,440.3322801421273,100052300
2023-08-07,440.32244873046875,440.4787647776866,437.66513555624056,438.36854286160207,58357500
2023-08-08,438.40765380859375,440.31272406281704,435.00784667378764,437.75308218770624,71361300
2023-08-09,435.476806640625,438.8473064696528,434.7050054104256,438.6812113387593,78789600
2023-08-10,435.6330871582031,441.2896530041849,434.45098245393154,437.8605386591447,93005500
2023-08-11,435.37908935546875,436.40490787249684,433.13210942829295,433.7378155053105,68664600
2023-08-14,437.7823486328125,437.7823486328125,434.13833340587485,434.45096548852365,47867400
2023-08-15,432.6827087402344,436.3462823230885,432.10628026000245,435.9847846856202,75707500
2023-08-16,429.5075988769531,433.9429436965957,429.4001185516448,432.26258347060406,80107200
2023-08-17,426.23480224609375,431.25632480369626,425.7072393158226,430.9925582456794,95711300
2023-08-18,426.4399719238281,427.48531875841724,423.03041559493624,423.3821043537296,98758400
2023-08-21,429.2145080566406,429.966751099539,425.2871679071468,427.4657539176368,68719000
